Name,Location,Contact,Reviews,Type,Courses,Residential,Mess Facility
SGPi COACHING CLASSES,"5th Cross Road, Haripriya CITB Colony, Gandhinagar, Dharwad, Karnataka 580006, India",090663 15615,4.9,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
Sri Balaji Navodaya Coaching Classes Dharwad,"51,1st Main Rd, 2nd Cross Rd, opposite Shrushti PU Science College, Narayanpura, Dharwad, Karnataka 580008, India",094837 53751,4.8,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
"Physics Wallah Vidyapeeth Pathshala Coaching Center Dharwad | (8th-12th+) IIT-JEE,NEET and Dropper","1st Floor, GRT Square Building, P B Rd, opposite NTTF BRTS bus stop, Hosayellapur, Dharwad, Karnataka 580001, India",074280 96975,5,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
Isha Navodaya Coaching Classes Dharwad,"defence colony cross street 2, defence colony, near, BELAGAVI ROAD, near KVGB Head office, Mukambika Nagar, Dharwad, Karnataka 580008, India",078997 78974,5,"school, health, point_of_interest, establishment",List of courses not available,Info not available,Info not available
Genius Career Academy Dharwad,"1st Floor, Gunjan Complex, above SBI ATM, Saptapur, Dharwad, Karnataka 580001, India",087921 60588,4.6,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
Dodamani Navodaya Coaching Classes,"Yalaki Shettar Colony, PB Rd, beside Vishal Megha Mart, Gandhinagar, Dharwad, Karnataka 580004, India",099024 74409,4.8,"school, point_of_interest, establishment",List of courses not available,Info not available,Info not available
Tigadi Classes,"Last Stop, Dharwad - Haliyal Rd, Jay Nagar, Saptapur, Dharwad, Karnataka 580001, India",0836 277 1700,4.1,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
ADARSH IIT ACADEMY / ADARSH. TUTORIALS,"Hullannavar building, 1st Cross Rd, Siddharth Colony, State Bank colony, Police Head Quarter's, Dharwad, Karnataka 580007, India",097384 64001,4.5,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
MG Academy Dharwad,"Last, Bus Stop, Cross, Vijyanand Nagar, Saptapur, Sarvamangal, Dharwad, Karnataka 580001, India",091087 24422,4.7,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
Excellent coaching classes,"near rajatagiri, Rajatagiri, Saraswatpur, Dharwad, Karnataka 580002, India",090352 24486,5,"school, point_of_interest, establishment",List of courses not available,Info not available,Info not available
Chiguru Competitive Coaching Institute ??????,"Saptapur, Dharwad, Karnataka 580001, India",070224 71511,4.2,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
Vidyakashi career academy,"Tungabhadra HDS, Vijyanand Nagar, Saptapur, Dharwad, Karnataka 580007, India",096115 19475,4.5,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
Expert Tutorials,"First Floor Balaji Arcade, near JSS College, Rajatagiri, Gandhinagar, Dharwad, Karnataka 580004, India",0836 246 1445,4.1,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
Vector Academy,"2nd Floor, Above Punjab National Bank, Desai Complex, Bus Stop, Rajatagiri, Gandhinagar, Dharwad, Karnataka 580004, India",096065 46111,4.8,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
KALPAVRUKSHA IAS & KAS ACADEMY,"Pastey complex, Jayanagar 1st Cross, opp. to Jaynagar Food Plaza, Jay Nagar, Saptapur, Dharwad, Karnataka 580001, India",078993 79705,4.8,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
"Veranda Race Govt Exams Coaching Institute - Bank. SSC, Railways & PSC - Dharwad","Veranda RACE, E Square Building, Ground Floor, Nadagouda Complex, 7th Cross Rd, Saptapur, Dharwad, Karnataka 580001, India",095661 38162,4.8,"library, bank, finance, point_of_interest, establishment",List of courses not available,Info not available,Info not available
"Gurudev IAS, KAS & Banking Academy, Dharwad Branch","K' Square Building, near Spandana Hospital, Saptapur, Dharwad, Karnataka 580001, India",098860 66442,4.3,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
"SPARDHA GENIUS KAS/PSI Coaching Institute, DHARWAD","Jayanagar Cross, Jay Nagar, Saptapur, Dharwad, Karnataka 580001, India",088674 79571,4.6,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
SRUSHTI ACADEMY DHARWAD,"Akshata Arcade, 7th Cross Rd, Circle, near Saptapura, Saptapur, Bhavi, Dharwad, Karnataka 580001, India",099644 55005,4.2,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
MasterStroke Classes Dharwad,"koppadakeri, road, behind karnataka bank, near Shivalaya, Maratha Colony, Dharwad, Karnataka 580008, India",099000 82194,4.9,"point_of_interest, establishment",List of courses not available,Info not available,Info not available
